matrix,method,error,time,svd_error,improvement
G12,DQN-vote,0.9549892482566044,10.19564437866211,0.9277050134030113,-2.9410463950721755
G12,DQN-average,0.9546378021707149,10.343246459960938,0.9277050134030113,-2.9031630074853965
G12,DQN-best,0.95414863685493,10.138715028762817,0.9277050134030113,-2.850434466762031
G12,A2C-vote,0.9547796429892432,24.74704074859619,0.9277050134030113,-2.918452438552283
G12,A2C-average,0.9554776292514648,23.040833711624146,0.9277050134030113,-2.9936903915801816
G12,A2C-best,0.9549541873828293,27.45330262184143,0.9277050134030113,-2.9372670823306803
G13,DQN-vote,0.9549650953481666,10.252617120742798,0.925695948035969,-3.161853238560396
G13,DQN-average,0.955902714715258,10.02976107597351,0.925695948035969,-3.2631412877390376
G13,DQN-best,0.9548014627834067,12.53233790397644,0.925695948035969,-3.1441765310942893
G13,A2C-vote,0.9544304584410537,24.77879810333252,0.925695948035969,-3.10409810759679
G13,A2C-average,0.9544027832205055,24.226417064666748,0.925695948035969,-3.101108441215852
G13,A2C-best,0.9529325039806634,26.332858085632324,0.925695948035969,-2.9422788338310975
G14,DQN-vote,0.9172070632925919,9.92055082321167,0.7785229933205559,-17.813741040649404
G14,DQN-average,0.9106769052903753,9.647440195083618,0.7785229933205559,-16.974952969103278
G14,DQN-best,0.9089251819437654,11.02103066444397,0.7785229933205559,-16.74994698191484
G14,A2C-vote,0.908672851223764,27.608108520507812,0.7785229933205559,-16.717535515308672
G14,A2C-average,0.9088996174637746,26.024346351623535,0.7785229933205559,-16.74666326644206
G14,A2C-best,0.9091293200385892,27.10629677772522,0.7785229933205559,-16.776168184958966
G15,DQN-vote,0.9027991493220066,9.947481393814087,0.7741928431374634,-16.611663014522108
G15,DQN-average,0.9119270090154794,8.75398325920105,0.7741928431374634,-17.790679298950888
G15,DQN-best,0.9053372901816453,11.179274797439575,0.7741928431374634,-16.939506507540308
G15,A2C-vote,0.9129275390292559,24.285531282424927,0.7741928431374634,-17.919914543456873
G15,A2C-average,0.9102105777384906,24.274518966674805,0.7741928431374634,-17.568973390377398
G15,A2C-best,0.9019946481575879,26.694584846496582,0.7741928431374634,-16.50774818612375
G2,DQN-vote,0.9302538254995619,10.283477783203125,0.8815786785184972,-5.52136163987811
G2,DQN-average,0.9308392530777057,9.712555170059204,0.8815786785184972,-5.587768370486381
G2,DQN-best,0.9290755360385771,11.262755155563354,0.8815786785184972,-5.387704884140213
G2,A2C-vote,0.9295161699670901,24.369007349014282,0.8815786785184972,-5.437687255453174
G2,A2C-average,0.9293762977133754,23.080195426940918,0.8815786785184972,-5.421821144223061
G2,A2C-best,0.9295610397143333,26.366530895233154,0.8815786785184972,-5.442776959677722
G3,DQN-vote,0.9281771262034554,10.082154035568237,0.8819091279636786,-5.246345317528263
G3,DQN-average,0.929301562504972,9.165347814559937,0.8819091279636786,-5.373845562832778
G3,DQN-best,0.928774261549657,10.782723188400269,0.8819091279636786,-5.314054713799104
G3,A2C-vote,0.9298044652214229,25.167330980300903,0.8819091279636786,-5.430869886598665
G3,A2C-average,0.9289347229843389,23.64501953125,0.8819091279636786,-5.332249494825167
G3,A2C-best,0.928877749311853,29.842729091644287,0.8819091279636786,-5.325789229172006
G4,DQN-vote,0.9306092728827395,9.81143593788147,0.8818156973907122,-5.5333076556027825
G4,DQN-average,0.9293291378136573,9.285199880599976,0.8818156973907122,-5.388137290313288
G4,DQN-best,0.9289785422020381,12.013951063156128,0.8818156973907122,-5.348378913063187
G4,A2C-vote,0.9297457479051443,25.533494234085083,0.8818156973907122,-5.43538186678428
G4,A2C-average,0.9302068728797792,24.32467269897461,0.8818156973907122,-5.487674537009972
G4,A2C-best,0.928252927566681,27.570841073989868,0.8818156973907122,-5.266092485467916
G5,DQN-vote,0.9295807897609838,12.635838985443115,0.8817628137957818,-5.422997569987878
G5,DQN-average,0.9285532177879654,11.23439884185791,0.8817628137957818,-5.306461472418177
G5,DQN-best,0.9293885982686809,13.1879723072052,0.8817628137957818,-5.401201289934342
G5,A2C-vote,0.930172030376674,25.407564401626587,0.8817628137957818,-5.490049684960272
G5,A2C-average,0.9291763128114329,24.624606609344482,0.8817628137957818,-5.37712616974026
G5,A2C-best,0.9289508769798678,27.12557625770569,0.8817628137957818,-5.351559676343396
