matrix,rank,method,error
G12,10,Deterministic SVD,0.9811948877242171
G12,20,Deterministic SVD,0.9631773850492176
G12,30,Deterministic SVD,0.9453282076625013
G12,40,Deterministic SVD,0.9277050134030111
G12,50,Deterministic SVD,0.9101676991346292
G12,60,Deterministic SVD,0.8927848776205369
G12,70,Deterministic SVD,0.8753619529248078
G12,80,Deterministic SVD,0.8584595683202128
G12,90,Deterministic SVD,0.8415668956786178
G12,100,Deterministic SVD,0.8247181702753823
G13,10,Deterministic SVD,0.9806061277435512
G13,20,Deterministic SVD,0.961921224474352
G13,30,Deterministic SVD,0.9436893662810674
G13,40,Deterministic SVD,0.9256959480359688
G13,50,Deterministic SVD,0.9079995615554542
G13,60,Deterministic SVD,0.8905703344909366
G13,70,Deterministic SVD,0.8734064998335251
G13,80,Deterministic SVD,0.8563312240441243
G13,90,Deterministic SVD,0.8393488903384945
G13,100,Deterministic SVD,0.8224331134546634
G14,10,Deterministic SVD,0.9067967985596675
G14,20,Deterministic SVD,0.8561916771389737
G14,30,Deterministic SVD,0.8146695617871875
G14,40,Deterministic SVD,0.7785229933205559
G14,50,Deterministic SVD,0.7471046581577814
G14,60,Deterministic SVD,0.7194690941081535
G14,70,Deterministic SVD,0.6940591709149398
G14,80,Deterministic SVD,0.6704068041560335
G14,90,Deterministic SVD,0.6482969785142563
G14,100,Deterministic SVD,0.6274247769191106
G15,10,Deterministic SVD,0.9048217070333124
G15,20,Deterministic SVD,0.8528184723814669
G15,30,Deterministic SVD,0.8103260324808856
G15,40,Deterministic SVD,0.7741928431374634
G15,50,Deterministic SVD,0.7428625160979955
G15,60,Deterministic SVD,0.7143561067826353
G15,70,Deterministic SVD,0.6884543728426659
G15,80,Deterministic SVD,0.6648619700132354
G15,90,Deterministic SVD,0.6428661736627889
G15,100,Deterministic SVD,0.6224835861554355
G2,10,Deterministic SVD,0.9472009877036544
G2,20,Deterministic SVD,0.9246614734857036
G2,30,Deterministic SVD,0.902837094771877
G2,40,Deterministic SVD,0.8815786785184972
G2,50,Deterministic SVD,0.8609955722151028
G2,60,Deterministic SVD,0.8409209579333367
G2,70,Deterministic SVD,0.8213341581381034
G2,80,Deterministic SVD,0.8021447036250652
G2,90,Deterministic SVD,0.783175629061058
G2,100,Deterministic SVD,0.7645614850571333
G3,10,Deterministic SVD,0.9471976333438284
G3,20,Deterministic SVD,0.9248646156277852
G3,30,Deterministic SVD,0.9030768186748837
G3,40,Deterministic SVD,0.8819091279636786
G3,50,Deterministic SVD,0.8613675336056141
G3,60,Deterministic SVD,0.8412806563427176
G3,70,Deterministic SVD,0.8215806677378252
G3,80,Deterministic SVD,0.8022986988792263
G3,90,Deterministic SVD,0.7834140447762405
G3,100,Deterministic SVD,0.7647677791841682
G4,10,Deterministic SVD,0.9470342482994604
G4,20,Deterministic SVD,0.9246977969586118
G4,30,Deterministic SVD,0.903016882784566
G4,40,Deterministic SVD,0.8818156973907122
G4,50,Deterministic SVD,0.86128397265508
G4,60,Deterministic SVD,0.841199510570601
G4,70,Deterministic SVD,0.8215261577326615
G4,80,Deterministic SVD,0.8022272286370831
G4,90,Deterministic SVD,0.7832732016331487
G4,100,Deterministic SVD,0.7646207746805921
G5,10,Deterministic SVD,0.9469708348156972
G5,20,Deterministic SVD,0.9244444624568274
G5,30,Deterministic SVD,0.9028178646161662
G5,40,Deterministic SVD,0.8817628137957819
G5,50,Deterministic SVD,0.861311052734044
G5,60,Deterministic SVD,0.8413014985280888
G5,70,Deterministic SVD,0.8216557875685032
G5,80,Deterministic SVD,0.8023625096414667
G5,90,Deterministic SVD,0.7834255448672951
G5,100,Deterministic SVD,0.7648573662873124
